CompanyID,ServiceType,PurchaseAmount,TotalHours,PurchaseAmountPerHour,Date
COMP000001,Meals,10071.89,941.05,10.70282131661442,2024-01-01
COMP000001,Meals,9940.51,937.84,10.599366629702294,2024-02-01
COMP000001,Meals,9861.82,938.81,10.504596244181464,2024-03-01
COMP000001,Meals,10187.39,939.42,10.84434012475783,2024-04-01
COMP000001,Meals,10245.4,939.38,10.906555387596073,2024-05-01
COMP000001,Meals,9930.369999999999,939.09,10.574460381859032,2024-06-01
COMP000001,Meals,10117.64,940.31,10.759898331401347,2024-07-01
COMP000001,Meals,9857.33,942.24,10.46159152657497,2024-08-01
COMP000001,Meals,9971.689999999999,939.54,10.613374630138152,2024-09-01
COMP000001,Meals,10146.04,940.89,10.783449712506245,2024-10-01
COMP000001,Meals,9980.51,937.77,10.64281220341875,2024-11-01
COMP000002,Meals,9125.11,803.8,11.352463299328193,2024-01-01
COMP000002,Meals,9280.6,807.7,11.490157236597746,2024-02-01
COMP000002,Meals,9173.34,808.72,11.3430359085963,2024-03-01
COMP000002,Meals,9021.41,804.36,11.215637276841216,2024-04-01
COMP000002,Meals,9186.99,802.47,11.448390594040898,2024-05-01
COMP000002,Meals,9175.65,807.48,11.363315500074304,2024-06-01
COMP000002,Meals,9253.199999999999,806.86,11.468160523510893,2024-07-01
COMP000002,Meals,8951.61,802.89,11.149235885364122,2024-08-01
COMP000002,Meals,9133.66,805.18,11.343625027944062,2024-09-01
COMP000002,Meals,9188.61,805.82,11.402807078503884,2024-10-01
COMP000002,Meals,9371.039999999999,803.07,11.66902013523105,2024-11-01
COMP000003,Meals,8619.49,806.26,10.690707712152408,2024-01-01
COMP000003,Meals,8654.55,803.51,10.770930044430063,2024-02-01
COMP000003,Meals,8631.83,808.02,10.682693497685701,2024-03-01
COMP000003,Meals,8737.710000000001,805.05,10.853623998509411,2024-04-01
COMP000003,Meals,8523.91,802.94,10.615874162452984,2024-05-01
COMP000003,Meals,8682.1,807.44,10.752625582086594,2024-06-01
COMP000003,Meals,8795.19,807.68,10.889448791600636,2024-07-01
COMP000003,Meals,8660.27,804.54,10.764250379098616,2024-08-01
COMP000003,Meals,8626.8,802.64,10.74803149606299,2024-09-01
COMP000003,Meals,8998.57,804.46,11.185851378564502,2024-10-01
COMP000003,Meals,8580.9,806.19,10.643768838611244,2024-11-01
COMP000004,Meals,11898.03,1074.61,11.071951684797277,2024-01-01
COMP000004,Meals,11878.609999999999,1074.11,11.059025611901946,2024-02-01
COMP000004,Meals,11858.98,1073.24,11.049699973910775,2024-03-01
COMP000004,Meals,11915.06,1073.37,11.100608364310537,2024-04-01
COMP000004,Meals,11460.22,1071.32,10.697289325318298,2024-05-01
COMP000004,Meals,11884.18,1072.27,11.083197329030934,2024-06-01
COMP000004,Meals,11771.75,1073.19,10.968933739598766,2024-07-01
COMP000004,Meals,12043.74,1073.59,11.218193164988497,2024-08-01
COMP000004,Meals,12097.4,1074.44,11.259260638099846,2024-09-01
COMP000004,Meals,11778.99,1071.89,10.988991407700416,2024-10-01
COMP000004,Meals,11700.61,1071.34,10.921472175033138,2024-11-01
COMP000005,Meals,59629.060000000005,5107.88,11.673935174671293,2024-01-01
COMP000005,Meals,58981.06,5103.38,11.557254211914456,2024-02-01
COMP000005,Meals,59935.69,5113.77,11.720450861106384,2024-03-01
COMP000005,Meals,58792.92,5105.98,11.514522187709314,2024-04-01
COMP000005,Meals,58398.17,5104.92,11.439585732979165,2024-05-01
COMP000005,Meals,58301.05,5108.64,11.412244746155533,2024-06-01
COMP000005,Meals,59160.39,5106.55,11.585197442500318,2024-07-01
COMP000005,Meals,58954.159999999996,5112.49,11.531398594422678,2024-08-01
COMP000005,Meals,57171.79,5098.99,11.212375391989395,2024-09-01
COMP000005,Meals,60112.48,5103.94,11.777661963110853,2024-10-01
COMP000005,Meals,59739.920000000006,5106.39,11.699051580470744,2024-11-01
COMP000006,Meals,36845.29,3360.69,10.96360866369704,2024-01-01
COMP000006,Meals,36645.67,3359.56,10.907877817333222,2024-02-01
COMP000006,Meals,37170.47,3360.38,11.06138889054214,2024-03-01
COMP000006,Meals,36182.74,3358.12,10.774701320977213,2024-04-01
COMP000006,Meals,36058.270000000004,3361.84,10.725754348808985,2024-05-01
COMP000006,Meals,36248.61,3358.74,10.79232390717948,2024-06-01
COMP000006,Meals,36657.37,3360.77,10.90743192780226,2024-07-01
COMP000006,Meals,36561.57,3358.07,10.887673574404344,2024-08-01
COMP000006,Meals,36896.98,3365.01,10.96489460655392,2024-09-01
COMP000006,Meals,37182.43,3366.82,11.04378315443059,2024-10-01
COMP000006,Meals,35843.11,3359.19,10.670164533711995,2024-11-01
COMP000007,Meals,4170.599999999999,400.23,10.420508207780525,2024-01-01
COMP000007,Meals,4275.4,400.56,10.673557020171758,2024-02-01
COMP000007,Meals,4297.34,396.67,10.833539213956184,2024-03-01
COMP000007,Meals,4212.9,397.37,10.601957873015072,2024-04-01
COMP000007,Meals,4234.69,401.42,10.549275073489111,2024-05-01
COMP000007,Meals,4389.17,396.68,11.064762528990622,2024-06-01
COMP000007,Meals,4270.47,398.66,10.712060402347864,2024-07-01
COMP000007,Meals,4225.58,397.73,10.624242576622331,2024-08-01
COMP000007,Meals,4191.14,396.71,10.564745027854102,2024-09-01
COMP000007,Meals,4313.139999999999,396.9,10.867069790879313,2024-10-01
COMP000007,Meals,4185.57,396.83,10.547514048837034,2024-11-01
COMP000008,Meals,32194.48,2816.26,11.431643385198809,2024-01-01
COMP000008,Meals,31756.87,2819.9,11.261700769530833,2024-02-01
COMP000008,Meals,31798.11,2819.65,11.277325199936163,2024-03-01
COMP000008,Meals,31564.48,2817.28,11.20388459791004,2024-04-01
COMP000008,Meals,31846.47,2826.91,11.265470071562238,2024-05-01
COMP000008,Meals,31615.52,2816.89,11.223555055397975,2024-06-01
COMP000008,Meals,32038.27,2816.89,11.37363191320925,2024-07-01
COMP000008,Meals,32228.33,2815.02,11.448703739227431,2024-08-01
COMP000008,Meals,32245.34,2817.56,11.444419994605262,2024-09-01
COMP000008,Meals,31467.07,2817.8,11.167247498048122,2024-10-01
COMP000008,Meals,31849.54,2817.78,11.303061275188268,2024-11-01
COMP000009,Meals,11965.03,1065.96,11.224651956921461,2024-01-01
COMP000009,Meals,11604.380000000001,1067.71,10.868475522379674,2024-02-01
COMP000009,Meals,11612.35,1070.38,10.848810702741082,2024-03-01
COMP000009,Meals,12042.96,1067.71,11.27924249093855,2024-04-01
COMP000009,Meals,11445.14,1071.86,10.677831060026497,2024-05-01
COMP000009,Meals,11973.529999999999,1066.38,11.228201954275209,2024-06-01
COMP000009,Meals,11508.89,1070.43,10.751651205590276,2024-07-01
COMP000009,Meals,12118.35,1067.6,11.351020981641065,2024-08-01
COMP000009,Meals,11336.77,1068.08,10.614158115496968,2024-09-01
COMP000009,Meals,11711.52,1068.21,10.963686915494144,2024-10-01
COMP000009,Meals,11482.47,1068.63,10.745038039358803,2024-11-01
COMP000010,Meals,73935.85,6724.43,10.995110366231785,2024-01-01
COMP000010,Meals,73727.14,6727.2,10.959558211440124,2024-02-01
COMP000010,Meals,73909.02,6727.8,10.985614911263712,2024-03-01
COMP000010,Meals,75555.59999999999,6718.44,11.246003536535266,2024-04-01
COMP000010,Meals,75469.14,6723.63,11.224463571017441,2024-05-01
COMP000010,Meals,74400.43000000001,6723.71,11.065383545691294,2024-06-01
COMP000010,Meals,74800.94,6719.87,11.13130759970059,2024-07-01
COMP000010,Meals,73596.18,6719.57,10.952513330466086,2024-08-01
COMP000010,Meals,73415.65000000001,6710.46,10.94047949022869,2024-09-01
COMP000010,Meals,75120.17,6728.66,11.164209515713381,2024-10-01
COMP000010,Meals,73138.55,6723.36,10.878273660788654,2024-11-01
COMP000011,Meals,28412.98,2678.97,10.605934370299034,2024-01-01
COMP000011,Meals,28251.96,2679.86,10.542326837969147,2024-02-01
COMP000011,Meals,27945.079999999998,2672.79,10.45539679510923,2024-03-01
COMP000011,Meals,28436.72,2679.67,10.612023122250127,2024-04-01
COMP000011,Meals,28531.43,2672.65,10.675333470525509,2024-05-01
COMP000011,Meals,28020.75,2674.09,10.478611415472178,2024-06-01
COMP000011,Meals,28205.82,2677.15,10.535763778645201,2024-07-01
COMP000011,Meals,28354.19,2680.06,10.579684783176496,2024-08-01
COMP000011,Meals,27282.57,2671.26,10.213371218076862,2024-09-01
COMP000011,Meals,28540.29,2680.79,10.646223687793524,2024-10-01
COMP000011,Meals,28355.93,2675.25,10.599357069432763,2024-11-01
COMP000012,Meals,9771.949999999999,934.32,10.45888988783286,2024-01-01
COMP000012,Meals,10212.41,936.53,10.90451987656562,2024-02-01
COMP000012,Meals,9944.1,934.42,10.642002525630874,2024-03-01
COMP000012,Meals,10249.33,934.16,10.971707202192345,2024-04-01
COMP000012,Meals,10209.16,928.38,10.996747021693704,2024-05-01
